question,option_a,option_b,option_c,option_d,correct_answer,image
ریڈ لائٹ پر کیوں رکنا ضروری ہے؟,فیول بچانے کے لیے,ٹریفک کے نظم کے لیے,گاڑی ٹھنڈی کرنے کے لیے,گاڑی صاف کرنے کے لیے,B,
سیف ڈرائیونگ میں ’’3 سیکنڈ رول‘‘ کس لیے ہے؟,گاڑی تیز رکھنے کے لیے,فاصلہ برقرار رکھنے کے لیے,اوورٹیک کرنے کے لیے,موڑ کاٹنے کے لیے,B,
تیز بارش میں وائیپر کا استعمال کیوں کیا جاتا ہے؟,گاڑی تیز کرنے کے لیے,شیشہ صاف رکھنے کے لیے,دروازہ کھولنے کے لیے,ٹائر گرم کرنے کے لیے,B,
کسی بھی گاڑی کے بریک خراب ہونے کی پہلی علامت کیا ہے؟,گاڑی رک جاتی ہے,گاڑی کانپتی ہے,آواز یا چیخ پیدا ہونا,اسپیڈ بڑھ جانا,C,
تیز ہوا میں گاڑی کیوں ڈstabilize ہوتی ہے؟,ٹائر گرم ہونے سے,فیول کم ہونے سے,ہوا کے دباؤ کی وجہ سے,انجن ٹھنڈا ہونے سے,C,
رات میں ہائی بیم کے غلط استعمال سے کیا مسئلہ ہوتا ہے؟,گاڑی بند ہو جاتی ہے,سامنے والے کی نظر متاثر ہوتی ہے,ٹائر پھٹ جاتے ہیں,فیول ضائع ہوتا ہے,B,
ڈرائیونگ کے دوران تھکاوٹ سے بچنے کا بہترین طریقہ کیا ہے؟,موبائل استعمال کریں,تازہ ہوا لیں اور وقفہ کریں,گیس بڑھا دیں,اونچی موسیقی چلائیں,B,
سڑک پر زرد لائن کس چیز کی طرف اشارہ کرتی ہے؟,پارکنگ,اوورٹیکنگ,نو پارکنگ ایریا,یوٹرن,C,
کچی سڑک پر گاڑی کی رفتار کیوں کم رکھنی چاہیے؟,فیول بچتا ہے,دھول کم ہوتی ہے,کنٹرول بہتر رہتا ہے,گاڑی خوبصورت لگتی ہے,C,
اگر ٹائر میں کم ہوا ہو تو گاڑی کا کیا حال ہوگا؟,کنٹرول کم ہوجائے گا,گاڑی اڑنے لگے گی,اسپیڈ بڑھے گی,انجن ٹھنڈا ہوگا,A,
ڈرائیونگ کے دوران دونوں ہاتھ اسٹیئرنگ پر رکھنے کا فائدہ کیا ہے؟,گاڑی بھاری ہوتی ہے,کنٹرول بہتر رہتا ہے,فیول کم لگتا ہے,بریک بہتر ہوجاتے ہیں,B,
ڈرائیونگ شروع کرنے سے پہلے پہلا قدم کیا ہے؟,آئینہ دیکھنا,سیٹ ایڈجسٹ کرنا,گیئر لگانا,ہارن بجانا,B,
گاڑی کی رفتار کم کرتے وقت پہلے کیا کرنا چاہیے؟,گیئر بڑھانا,لفٹ انڈیکیٹر لگانا,پہلا بریک لگانا,انجن بند کرنا,C,
کسی بھی حادثے سے بچنے کا بہترین طریقہ کیا ہے؟,تیز گاڑی چلانا,سامنے دیکھنا,موبائل استعمال کرنا,پیچھے دیکھنا,B,
پارکنگ کرتے وقت کس چیز کا خیال رکھنا چاہیے؟,سڑک خالی ہو,لین کا خیال,فاصلہ اور جگہ مناسب ہو,روشنی ہو,C,
سڑک پر سفید ٹوٹی لائن کا مطلب کیا ہے؟,اوورٹیک کی اجازت,اوورٹیک منع,صرف پیدل,صرف موٹر سائیکل,A,
ڈرائیونگ کے دوران گاڑی کے درمیان مناسب فاصلہ کیوں ضروری ہے؟,ٹائر محفوظ رہیں,ٹریفک بڑھے,حادثات کم ہوں,گاڑی گرم نہ ہو,C,
بریک لگاتے وقت اچانک جھٹکا کیوں محسوس ہوسکتا ہے؟,ٹائروں میں کم ہوا,فیول کم ہو,بریک خراب ہوں,ہیڈ لائٹ بند ہو,C,
گاڑی کا انجن بند ہونے کی عام وجہ کیا ہے؟,فیول زیادہ,بجلی کی خرابی,گزرتی ہوا,ٹائر کا پریشر,B,
انڈیکیٹر کا رنگ کیا ہوتا ہے؟,سرخ,سبز,نارنجی,نیلا,C,
ڈرائیونگ کے دوران توجہ ہٹنے کی سب سے بڑی وجہ کیا ہے؟,موسیقی,موبائل فون,شیشہ,سیٹ کا جھکاؤ,B,
چوراہے پر ٹریفک پولیس کی ہدایت کس کے برابر ہے؟,زرد سگنل,سرخ سگنل,ٹریفک لائٹس,تمام سے اعلیٰ,C,
کسی حادثے میں زخمی کو پہلے کیا کرنا چاہیے؟,پانی دینا,دوڑانا,ایمرجنسی سروس کال کرنا,گاڑی چلانا,C,
گاڑی کے شیشے صاف رکھنے سے کیا فائدہ ہے؟,گاڑی تیز چلتی ہے,نظر صاف رہتی ہے,فیول بچتا ہے,ٹائر نہیں گھستے,B,
گاڑی میں ABS بریک کا فائدہ کیا ہے؟,گاڑی تیز کرتی ہے,پھسلنے سے بچاتی ہے,گیئر بڑھاتی ہے,ہارن کم کرتی ہے,B,
بارش میں گاڑی کی رفتار کم کیوں رکھنی چاہیے؟,پانی پیچھے گرتا ہے,نظر کم ہوجاتی ہے,ٹائر پھٹ جاتے ہیں,شیشہ ٹوٹ جاتا ہے,B,
اونچی آواز میں موسیقی سننا کیوں غلط ہے؟,انجن گرم ہوتا ہے,توجہ بٹتی ہے,گاڑی نہیں چلتی,ٹائر پھٹتے ہیں,B,
اگر ایکسیلیریٹر پھنس جائے تو کیا کرنا چاہیے؟,گاڑی تیز کردیں,گاڑی کو نیوٹرل کریں,ہارن دیں,گیئر بڑھائیں,B,
گاڑی کے شیشوں میں دھند بننے کا حل کیا ہے؟,ہیٹر بند کریں,ڈی فاگر آن کریں,ہارن دیں,گیئر کم کریں,B,
رات کے وقت پارکنگ لائٹس کب استعمال ہوئیں؟,صرف دن میں,روشنی کم ہو,شور زیادہ ہو,بریک لگتے وقت,B,
انجن کا درجہ حرارت زیادہ ہونے پر کیا کرنا چاہیے؟,ایئرکن بند کریں,گاڑی روک دیں,اور تیز چلائیں,ہیڈ لائٹس بند کریں,B,
گاڑی کے ٹائر کب تبدیل کرنے چاہییں؟,نئے ہوں,پرانے ہوں,ٹریک ختم ہوجائے,رنگ بدل جائے,C,
اگر سڑک پر تیل یا پانی گرا ہو تو؟,تیز چلائیں,موڑ لیں,رفتار کم کریں,اوورٹیک کریں,C,
گاڑی کے وائپر خراب ہوں تو بارش میں کیا خطرہ ہے؟,گاڑی رک جائے,نظر کم ہوگی,گاڑی گرم ہوگی,ٹائر پھٹیں گے,B,
سڑک پر دوہری سفید لائن کا کیا مطلب ہے؟,پیچھے جائیں,اوورٹیک کرسکتے ہیں,اوورٹیک منع ہے,صرف پیدل,C,
ڈرائیونگ کے دوران تھکن محسوس ہو تو کیا کرنا چاہیے؟,تیز چلائیں,گاڑی روک کر آرام کریں,گیئر بڑھائیں,ایئرکن بند کریں,B,
اوور اسپیڈنگ کیوں خطرناک ہے؟,ٹائر گرم ہوتے ہیں,ردعمل کا وقت کم ہوجاتا ہے,فیول بڑھتا ہے,اسٹیئرنگ خراب ہوتا ہے,B,
ٹائر کا پریشر زیادہ ہونے سے؟,بریکس خراب,گاڑی پھسلتی ہے,ٹائر پھٹنے کا خطرہ,ہیڈ لائٹ بند,C,
اندھیری سڑک پر کون سی لائٹس بہتر ہیں؟,زیادہ روشنی,کم روشنی,ہائی بیم,انڈیکیٹر,C,
سڑک پار کرتے وقت پیدل چلنے والا کہاں سے گزرے؟,بیچ سڑک,جہاں چاہے,زیبرا کراسنگ سے,موٹر وے سے,C,
گاڑی کا ہارن کب استعمال نہ کریں؟,اسکول کے قریب,سڑک پر,چوک پر,سگنل پر,A,
کسی بھی گاڑی کا سائلنسر خراب ہو تو؟,گاڑی اڑتی ہے,آواز بڑھتی ہے,ٹائر پھٹتے ہیں,فیول کم ہو جاتا ہے,B,
ایمرجنسی بریک کب لگانی چاہیے؟,گھر پہنچتے وقت,حادثے سے بچنے کے لیے,ہر موڑ پر,ہر سگنل پر,B,
گاڑی کی ٹیوننگ سے کیا فائدہ ہے؟,گاڑی کا رنگ بہتر,فیول ایوریج بہتر,ٹائر بڑے,گاڑی اونچی,B,
انجن آئل کم ہونے سے کیا ہوتا ہے؟,انجن گرم ہوتا ہے,ٹائر بڑے ہوتے ہیں,گاڑی تیز ہوتی ہے,لائٹس بند ہوتی ہیں,A,
بارش میں سڑک زیادہ کیوں پھسلتی ہے؟,پانی کم ہوتا ہے,مٹی کم ہوتی ہے,ربڑ مکس ہوتا ہے,پھسلن بڑھ جاتی ہے,D,
ریورس لیتے وقت کیا ضروری ہے؟,صرف ہارن,صرف لائٹس,پیچھے دیکھنا,صرف رفتار بڑھانا,C,
گیئر صحیح وقت پر نہ بدلا جائے تو؟,انجن پر دباؤ پڑتا ہے,گاڑی اڑتی ہے,ٹائر نرم,بریک کم,A,
فرنٹ اسکرین ٹوٹنے کی وجہ؟,پانی,ہوا,پتھر لگنا,آواز,C,
ٹائر میں ہوا کم ہونے سے گاڑی کدھر کھنچتی ہے؟,انجن کی طرف,کم ہوا والے طرف,زیادہ ہوا والے طرف,آسمان کی طرف,B,
گاڑی کی بیٹری کمزور ہونے کی علامت کیا ہے؟,ٹائر نرم ہوتے ہیں,گاڑی اسٹارٹ مشکل,دروازہ نہیں کھلتا,روشنی بڑھتی ہے,B,
سرخ سڑک نشان اکثر کس چیز کی نشاندہی کرتے ہیں؟,خطرہ,پارکنگ,پانی,اسپیڈ,C,
گرین لائٹ پر کب رکنا چاہیے؟,کبھی نہیں,اگر چوراہہ بھرا ہو,صرف رات میں,بارش میں,B,
گھومتی سڑک پر کون سی رفتار بہتر ہے؟,تیز رفتار,درمیانی رفتار,بہت کم رفتار,جہاں چاہے,B,
اوورٹیک ہمیشہ کس طرف سے ہوتا ہے؟,دائیں جانب,بائیں جانب,سامنے سے,جہاں جگہ ہو,A,
اگر ایکسیڈنٹ دیکھیں تو کیا کریں؟,ویڈیو بنائیں,مدد کریں,نظرانداز کریں,گاڑی بھگائیں,B,
گاڑی کے بریک لائٹس کا کام کیا ہے؟,گاڑی خوبصورت بنانا,موڑ دکھانا,روکنے کا اشارہ دینا,فاصلہ کم کرنا,C,
چوراہے پر پہلے کس گاڑی کو راستہ ملتا ہے؟,جو پہلے پہنچے,جو تیز ہو,جو بڑی ہو,جو نئی ہو,A,
سڑک پر پانی جمع ہو تو کیا کرنا چاہیے؟,تیز چلانا,آہستہ چلانا,اوورٹیک کرنا,گاڑی روک دینا,B,
لین بدلنے سے پہلے کیا دیکھنا ضروری ہے؟,اسپیڈ,آئینہ,کلچ,انجن,B,
ہیڈ لائٹ فلکرنگ کس خرابی کی علامت ہے؟,ٹائر,بریک,الیکٹرک خرابی,پینٹ,C,
ڈرائیونگ کے دوران سب سے اہم چیز کیا ہے؟,رفتار,توجہ,رنگ,گاڑی کی آواز,B,
اونچی جگہوں پر گاڑی چلاتے وقت کیا ضروری ہے؟,تیز رفتار,کم گیئر,انڈیکیٹر بند,ہارن بند,B,
اگر ٹریفک جام ہو تو کیا کرنا چاہیے؟,تیز چلانا,صبر اور فاصلہ رکھنا,ہارن بجانا,اوورٹیک کرنا,B,
موڑ کاٹتے وقت کن باتوں کا خیال رکھنا چاہیے؟,اسپیڈ بڑھائیں,آہستہ کریں اور انڈیکیٹر دیں,ہارن بجائیں,شیشہ بند کریں,B,
گاڑی کے کلچ کا صحیح استعمال کیا فائدہ دیتا ہے؟,زیادہ رفتار,گیئر آسانی سے بدلنا,ٹائر بڑا کرنا,انجن بند کرنا,B,
اگر پیچھے سے ایمبولینس آ رہی ہو تو کیا کریں؟,نظرانداز کریں,راستہ دیں,رفتار بڑھائیں,پارک کر دیں,B,
گاڑی کے انجن میں پانی کم ہو تو؟,انجن گرم ہوتا ہے,گاڑی رک جاتی ہے,ٹائر پھٹتے ہیں,لائٹس بند ہوتی ہیں,A,
گاڑی کے آئینے کہاں دیکھنا ضروری ہیں؟,صرف پیچھے جاتے وقت,ہر وقت,پارکنگ میں,بارش میں,B,
اوورٹیک کب نہیں کرنا چاہیے؟,سڑک سیدھی ہو,سامنے گاڑی واضح ہو,موڑ کے قریب ہو,لین وسیع ہو,C,
چیک پوسٹ پر ڈرائیور کو کیا کرنا چاہیے؟,تیز چلانا,گاڑی روکنا,ہارن بجانا,انڈیکیٹر بند کرنا,B,
گاڑی کے ٹائر کیوں بدلنا ضروری ہے؟,رنگ بدلنے کیلئے,پکڑ برقرار رکھنے کیلئے,گاڑی اونچی کرنے کیلئے,آواز بڑھانے کیلئے,B,
ڈرائیونگ سیٹ کس وجہ سے ایڈجسٹ کی جاتی ہے؟,آرام دہ بیٹھنے کیلئے,تیز چلانے کیلئے,رنگ دیکھنے کیلئے,ہارن بجانے کیلئے,A,
گاڑی چلاتے وقت کس صفت کی ضرورت ہے؟,غصہ,بردباری,جلد بازی,شور,B,
ہائی وے پر اوورٹیک کس لین سے ہوتا ہے؟,بائیں لین,دائیں لین,درمیانی لین,جہاں جگہ ہو,A,
سڑک پر ’’گِلی‘‘ لکیر کا کیا مقصد ہے؟,موڑ دکھانا,رفتار کم کرنا,بارش بتانا,پیدل چلنا,D,
بائیں طرف سے اوورٹیک کس ملک میں ممنوع ہے؟,پاکستان,انڈیا,چین,تمام ممالک,D,
گاڑی میں ہنگامی ہیزرڈ لائٹس کب آن کرنی چاہییں؟,عام ڈرائیونگ میں,بارش میں,گاڑی خراب ہو,چوک میں,C,
انجن اسٹارٹ کرنے کے بعد کیا چیک کریں؟,آواز,گیئر نیوٹرل,پہیے بند,ہارن,A,
گاڑی کے اسٹیئرنگ میں کمپن کی وجہ کیا ہوتی ہے؟,پانی کم,وہیل الائنمنٹ مسئلہ,انڈیکیٹر بند,فلٹر خراب,B,
کسی بھی موڑ سے پہلے کیا کرنا ضروری ہے؟,رفتار بڑھانا,رفتار کم کرنا,ہارن دینا,انجن بند کرنا,B,
گاڑی کے اشارے نہ چلنے کی وجہ کیا ہوسکتی ہے؟,فیوز پھٹ جانا,ٹائر نرم,فیول زیادہ,سیٹ آگے,A,
اگر ٹریفک سست ہو تو کیا کرنا چاہیے؟,راستہ بدلنا,آہستہ چلنا,تیز چلنا,ہارن دینا,B,
رات کے وقت ڈرائیونگ میں سب سے زیادہ احتیاط کس چیز میں ہے؟,سڑک کی روشنی,گاڑی کا رنگ,بجلی,فیول,A,
گاڑی کے بریک نرم ہونے کی وجہ کیا ہے؟,پانی,ٹائر بڑے,بریک آئل کم,ایئرکن چلانا,C,
تیز رفتار کے دوران خطرناک صورتحال میں کیا کریں؟,ہارن دیں,اچانک موڑیں,رفتار کم کریں,آنکھ بند کریں,C,
چڑھائی پر گاڑی بند ہوجائے تو کیا کریں؟,کلچ دبائیں,ہینڈ بریک لگائیں,انجن بند کریں,چابی نکالیں,B,
بجلی کے کھمبے کے قریب پارکنگ کیوں منع ہوتی ہے؟,روشنی زیادہ,حادثے کا خطرہ,گاڑی گرم ہوتی ہے,فیول کم ہوتا ہے,B,
سڑک پُر ہجوم ہو تو رفتار کیسی ہونی چاہیے؟,بہت تیز,کم,زیادہ,جہاں چاہے,B,
انڈیکیٹر نہ لگانے سے کیا نقصان ہے؟,گاڑی خراب ہوتی ہے,دوسرے ڈرائیور کنفیوز ہوتے ہیں,ٹائر پنکچر,روشنی بڑھتی ہے,B,
ABS اور عام بریک میں فرق کیا ہے؟,ABS پھسلن روکتا ہے,عام بریک گاڑی اڑاتی ہے,ABS انجن بند کرتا ہے,عام بریک روشنی بڑھاتا ہے,A,
بریک بار بار لگانے سے کیا ہوتا ہے؟,بریک گرم ہوتے ہیں,گاڑی اونچی ہوتی ہے,ٹائر بڑے,فیول کم,A,
ریئر ویو مرر کا مقصد کیا ہے؟,گاڑی پیچھے دیکھنا,گاڑی موڑنا,رفتار بڑھانا,دروازہ کھولنا,A,
اگر بارش شدید ہو تو لائٹس کون سی ہونی چاہئیں؟,ہائی بیم,لو بیم,انڈیکیٹر,کوئی نہیں,B,
تیل بدلنے کا وقت کب ہے؟,موڈ اچھا ہو,کم از کم 3000-5000 کلومیٹر,ٹائر چمکیں,بارش ہو,B,
سڑک پر جانور دیکھیں تو کیا کریں؟,ہارن دیں,رفتار کم کریں,اوورٹیک کریں,موڑ لیں,B,
چوراہے پر دائیں طرف والی گاڑی کو کب راستہ ملتا ہے؟,ٹریفک پولیس ہو,جگہ کم ہو,رائٹ آف وے اصول کے مطابق,گاڑی نئی ہو,C,
ڈرائیونگ کے دوران ذہنی دباؤ کیوں خطرناک ہے؟,فیول کم ہوتا ہے,فیصلہ کرنے میں دیر,گیئر نہیں لگتا,شیشہ ٹوٹتا ہے,B,
ٹائر بالکل اسموٹھ ہونے کی حالت کو کیا کہتے ہیں؟,سلیٹ ٹائر,بالڈ ٹائر,ہائی ٹائر,ڈبل ٹائر,B,
گاڑی کی لائٹس دھندلی ہونے کی وجہ؟,بجلی کمزور,مٹی جمی,ٹائر خراب,گیئر خراب,B,
ہیڈ لائٹس کا غلط زاویہ کس کیلئے خطرناک ہے؟,ڈرائیور کیلئے,سامنے والی گاڑی کیلئے,مکینک کیلئے,ٹائر کیلئے,B,
ہائی وے پر بریک زیادہ استعمال کرنے کا نقصان؟,انجن ٹھنڈا,بریک اوورہیٹ,ٹائر سیاہ,گیئر پھٹتا ہے,B,
گاڑی کی رفتار کا انحصار کس پر ہے؟,ٹائر کے رنگ,انجن کی طاقت,موسیقی,شیشہ,A,
ڈرائیونگ لائسنس کیوں ضروری ہے؟,شناخت کیلئے,قانونی طور پر گاڑی چلانے کیلئے,گاڑی خریدنے کیلئے,ٹائر لینے کیلئے,B,
ٹریفک قوانین کیوں بنائے جاتے ہیں؟,گاڑی خوبصورت,حادثات کم اور نظم بہتر,گاڑی تیز,ٹائر بڑے,B,
نئی گاڑی چلاتے وقت سب سے ضروری کیا ہے؟,رفتار بڑھانا,کنٹرول اور احتیاط,ہارن زیادہ,موڑ کاٹنا,B,
گاڑی کی سروس وقت پر نہ کرانے کا نتیجہ؟,گاڑی تیز,پارٹس خراب,شیشہ ٹوٹتا,دروازہ بند,A,
اگر سامنے والی گاڑی اچانک رک جائے تو؟,ہارن دیں,محفوظ فاصلہ رکھیں,تیز ہوجائیں,اوورٹیک کریں,B,
رات میں شیشہ صاف نہ ہو تو کیا مسئلہ؟,ٹائر پھٹتے ہیں,نظر متاثر ہوتی ہے,رفتار کم نہیں ہوتی,انجن بند,B,
گاڑی میں ہیٹر چلانے سے کیا ہوتا ہے؟,شیشہ صاف,آواز بڑھتی ہے,ٹائر نرم,گیئر پھنس,C,
گاڑی چلاتے وقت موبائل فون کا استعمال کیوں خطرناک ہے؟,توجہ بٹتی ہے,فیول بڑھتا ہے,ٹائر گھستے ہیں,انجن ٹھنڈا ہوتا ہے,A,
اوور اسپیڈنگ کا سب سے بڑا نقصان کیا ہے؟,گاڑی خوبصورت لگتی ہے,حادثے کا خطرہ بڑھ جاتا ہے,آواز کم ہو جاتی ہے,ٹائر نرم ہو جاتے ہیں,B,
دھند میں ڈرائیونگ کیسے کرنی چاہیے؟,تیز رفتار,لو بیم لائٹس,ہائی بیم لائٹس,انڈیکیٹر بند,B,
سڑک پر یوٹرن لیتے وقت کیا ضروری ہے؟,رفتار بڑھانا,دائیں دیکھنا,بائیں دیکھنا,ہارن بجانا,B,
ہائی وے پر گاڑی کی کم سے کم رفتار کیوں ہونی چاہیے؟,ٹائر گرم رکھنے کیلئے,ٹریفک رواں رکھنے کیلئے,زیادہ دھواں نکالنے کیلئے,انوائس بچانے کیلئے,B,
کسی بھی گاڑی کی رجسٹریشن کیوں ضروری ہے؟,رنگ کے لیے,قانونی شناخت کے لیے,ٹائر کیلئے,لائٹس کیلئے,B,
گاڑی کے شیشے پر دھند جم جائے تو کیا کرنا چاہیے؟,کلچ دبانا,ڈیفاگر آن کرنا,ٹائر بھرنا,ہارن دینا,B,
لانگ ڈرائیو پر نکلنے سے پہلے کیا چیک کرنا چاہیے؟,ٹی وی,ٹائر پریشر,گاڑی کی سائیڈ میرر بند,انڈیکیٹر بند,B,
گاڑی کے بریک میں مسلسل آواز کیوں آتی ہے؟,ٹائر نئے ہوں,پیڈ خراب ہوں,شیشہ گندا ہو,فیول کم ہو,B,
سڑک پر رفتار کے نشانات کو کیا کہا جاتا ہے؟,لائسنس,ٹریفک سائن,موڑ,پیٹرول,C,
بچوں کو گاڑی میں کس جگہ بٹھانا چاہیے؟,آگے,ڈرائیور کی سیٹ پر,پچھلی سیٹ پر سیٹ بیلٹ کے ساتھ,ڈرائیور کی گود میں,C,
ہیڈ لائٹس کب آن کرنا ضروری ہے؟,بارش، دھند اور اندھیرے میں,دوپہر میں,پارکنگ میں,گیراج میں,A,
گاڑی پارک کرتے وقت کس چیز کا خیال رکھنا ضروری ہے؟,سڑک کے بیچ کھڑی کریں,درست جگہ اور لائن میں پارک کریں,اوورٹیک کریں,تیز چلائیں,B,
کون سا رنگ زیادہ نمایاں ہوتا ہے رات میں؟,کالا,سفید,نیلا,گلابی,B,
ASR یا ٹریکشن کنٹرول کس لیے ہوتا ہے؟,موسیقی بڑھانے کیلئے,پھسلن میں کنٹرول رکھنے کیلئے,گاڑی اونچی کرنے کیلئے,ٹائر گرم کرنے کیلئے,B,
گاڑی کے انڈیکیٹر تیز چلیں تو وجہ کیا ہے؟,فیوز سست,بلیب خراب,ٹائر گرم,گیئر سخت,B,
اگر گاڑی پھسل رہی ہو تو کیا کرنا چاہیے؟,تیز بریک لگائیں,نرم اسٹیئرنگ اور رفتار کم کریں,شیشہ بند کریں,گیئر 5 میں ڈالیں,B,
موٹرسائیکل سواروں سے دوری کیوں رکھنی چاہیے؟,وہ تیز ہوتے ہیں,زیادہ کمزور ہوتے ہیں,آواز زیادہ ہوتی ہے,ٹائر بڑے ہوتے ہیں,B,
زیبرا کراسنگ کس کے لیے ہوتا ہے؟,کار پارکنگ,پیدل چلنے والوں کیلئے,ٹرک کیلئے,موٹر سائیکل کیلئے,B,
گاڑی میں ہارن کا زیادہ استعمال کیوں غلط ہے؟,فیول بڑھتا ہے,شور اور پریشانی پیدا ہوتی ہے,ٹائر گھستے ہیں,انجن بند ہوتا ہے,B,
اگر وائیپر صحیح کام نہ کریں تو کیا ہوگا؟,روشنی بڑھتی ہے,دھندلا پن اور نظر کم,گاڑی تیز,ٹائر پھول,B,
اوورٹیک کرتے وقت سب سے اہم کیا ہے؟,رفتار بڑھانا,سامنے خالی راستہ دیکھنا,ہارن مسلسل دینا,شیشہ بند رکھنا,B,
اگر ٹریفک سگنل خراب ہو تو کیا اصول ہے؟,جس کا دل کرے جائے,پہلے آنے والے کو راستہ,سب تیز جائیں,کوئی نہ رکے,B,
گاڑی کی لائٹس بار بار آن آف ہونے کی وجہ؟,ٹائر خراب,الیکٹرک فالٹ,فیول کم,گیئر پھنس,B,
